site;species;depth;stipe_length;stipe_weight;frond_weight;total_weight;hollow_length;outer_diam;inner_diam;hollowness
Swakop;laminaria;intertidal;161;425;1000;1586;150;25;15;93,2
Swakop;laminaria;intertidal;225;800;200;1225;212;33;23;94,2
Swakop;laminaria;intertidal;198;800;1500;2498;182;30;18;91,9
Swakop;laminaria;intertidal;221;900;625;1746;206;30;16;93,2
Swakop;laminaria;intertidal;212;825;1000;2037;198;30;17;93,4
Swakop;laminaria;intertidal;206;875;550;1631;181;29;12;87,9
Swakop;laminaria;intertidal;168;600;700;1468;147;33;25;87,5
Swakop;laminaria;shallow;129;395;1300;1824;103;26;15;79,8
Swakop;laminaria;shallow;147;500;1250;1897;139;28;17;94,6
Swakop;laminaria;shallow;130;500;1200;1830;115;29;18;88,5
Swakop;laminaria;shallow;148;380;850;1378;134;28;14;90,5
Swakop;laminaria;shallow;138;475;725;1338;111;29;18;80,4
Swakop;laminaria;shallow;136;375;875;1386;115;23;13;84,6
Swakop;laminaria;shallow;96;350;800;1246;76;27;17;79,2
Swakop;laminaria;shallow;136;400;1025;1561;121;26;16;89
Swakop;laminaria;shallow;132;475;1125;1732;113;29;19;85,6
Swakop;laminaria;shallow;158;600;875;1633;136;29;19;86,1
Swakop;laminaria;shallow;141;400;1500;2041;113;24;15;80,1
Swakop;laminaria;shallow;132;450;530;1112;111;26;16;84,1
Doring;laminaria;inner;126;750;2625;3375;86;34;21;68,25396825
Doring;laminaria;inner;146;1125;3125;4250;121;40;21;82,87671233
Doring;laminaria;inner;92;500;1375;1875;73;27;11;79,34782609
Doring;laminaria;inner;78;375;1875;2250;64;27;12;82,05128205
Doring;laminaria;inner;94;500;2000;2500;71;26;15;75,53191489
Doring;laminaria;inner;126;1000;2025;3025;70;32;14;55,55555556
Doring;laminaria;inner;110;500;1250;1750;91;28;17;82,72727273
Doring;laminaria;inner;121;625;1250;1875;100;29;16;82,6446281
Doring;laminaria;inner;73;275;575;850;32;23;10;43,83561644
Doring;laminaria;inner;61;250;2125;2375;35;21;9;57,37704918
Doring;laminaria;inner;90;500;1375;1875;44;23;10;48,88888889
Doring;laminaria;inner;205;1650;2250;3900;190;32;17;92,68292683
Doring;laminaria;inner;78;275;675;950;48;22;9;61,53846154
Doring;laminaria;inner;112;625;3250;3875;85;30;16;75,89285714
Doring;laminaria;inner;119;1375;4875;6250;96;40;20;80,67226891
Doring;laminaria;inner;223;1500;1400;2900;184;33;18;82,51121076
Doring;laminaria;inner;167;1375;2625;4000;117;46;35;70,05988024
Doring;laminaria;inner;133;1250;7750;9000;44;38;19;33,08270677
Doring;laminaria;inner;74;375;1875;2250;46;26;12;62,16216216
Doring;laminaria;inner;120;650;1250;1900;93;29;15;77,5
Doring;laminaria;inner;87;625;1275;1900;65;28;13;74,71264368
Doring;laminaria;inner;105;625;1625;2250;35;32;16;33,33333333
Doring;laminaria;inner;103;375;1250;1625;63;22;11;61,16504854
Doring;laminaria;inner;103;625;2150;2775;69;33;21;66,99029126
Doring;laminaria;inner;116;625;675;1300;70;26;13;60,34482759
Doring;laminaria;inner;82;375;1250;1625;44;23;10;53,65853659
Doring;laminaria;inner;74;275;775;1050;42;22;19;56,75675676
Doring;laminaria;inner;117;675;1750;2425;75;30;14;64,1025641
Doring;laminaria;inner;81;350;750;1100;62;22;11;76,54320988
Doring;laminaria;inner;185;1400;1875;3275;162;40;21;87,56756757
Doring;laminaria;inner;170;1000;900;1900;134;16;13;78,82352941
Doring;laminaria;inner;80;375;1500;1875;50;26;12;62,5
Doring;laminaria;inner;124;125;2650;2775;38;23;12;30,64516129
Doring;laminaria;inner;118;400;1150;1550;83;23;11;70,33898305
Doring;laminaria;inner;104;400;1250;1650;73;26;13;70,19230769
Doring;laminaria;inner;98;500;1825;2325;64;29;15;65,30612245
Doring;laminaria;inner;108;750;3250;4000;81;36;20;75
Doring;laminaria;inner;120;625;1250;1875;74;29;16;61,66666667
Doring;laminaria;inner;100;650;3375;4025;37;33;15;37
Doring;laminaria;inner;90;250;500;750;53;20;8;58,88888889
Doring;laminaria;inner;76;375;1625;2000;34;25;11;44,73684211
Doring;laminaria;inner;66;250;500;750;40;22;8;60,60606061
Doring;laminaria;inner;122;525;1875;2400;90;25;11;73,7704918
Doring;laminaria;inner;111;375;1625;2000;80;24;13;72,07207207
Doring;laminaria;inner;130;625;2250;2875;100;29;17;76,92307692
Doring;laminaria;inner;136;750;1500;2250;106;35;20;77,94117647
Doring;laminaria;inner;143;1125;6125;7250;118;40;25;82,51748252
Doring;laminaria;inner;127;750;1125;1875;100;31;15;78,74015748
Doring;laminaria;inner;111;500;1625;2125;74;29;18;66,66666667
Doring;laminaria;inner;100;475;1375;1850;80;27;14;80
Doring;laminaria;inner;145;625;400;1025;122;27;15;84,13793103
Doring;laminaria;inner;144;750;1875;2625;101;32;17;70,13888889
Doring;laminaria;inner;105;500;1125;1625;74;27;13;70,47619048
Doring;laminaria;inner;118;625;2250;2875;86;28;14;72,88135593
Doring;laminaria;deep;114;625;1125;1750;66;25;10;57,89473684
Doring;laminaria;deep;123;850;2125;2975;90;33;14;73,17073171
Doring;laminaria;deep;147;1625;2750;4375;51;43;21;34,69387755
Doring;laminaria;deep;86;375;1125;1500;65;26;11;75,58139535
Doring;laminaria;deep;75;400;2125;2525;29;24;11;38,66666667
Doring;laminaria;deep;97;625;2375;3000;72;29;14;74,22680412
Doring;laminaria;deep;63;300;750;1050;23;18;7;36,50793651
Doring;laminaria;deep;71;375;1500;1875;0;0;0;0
Doring;laminaria;deep;73;375;1125;1500;24;21;7;32,87671233
Doring;laminaria;deep;105;625;1875;2500;40;27;12;38,0952381
Doring;laminaria;deep;59;375;2750;3125;36;25;9;61,01694915
Doring;laminaria;deep;119;1250;4000;5250;0;0;0;0
Doring;laminaria;deep;90;500;1000;1500;36;24;10;40
Doring;laminaria;deep;71;500;1250;1750;28;28;12;39,43661972
Doring;laminaria;deep;75;400;1500;1900;23;22;8;30,66666667
Doring;laminaria;deep;111;650;1750;2400;66;30;13;59,45945946
Doring;laminaria;deep;54;250;1250;1500;20;17;7;37,03703704
Doring;laminaria;deep;106;625;2125;2750;79;27;10;74,52830189
Doring;laminaria;deep;55;250;1250;1500;11;19;5;20
Doring;laminaria;deep;98;500;875;1375;57;27;11;58,16326531
Doring;laminaria;deep;120;1150;2875;4025;91;37;16;75,83333333
Doring;laminaria;deep;78;400;1250;1650;18;23;8;23,07692308
Doring;laminaria;deep;64;500;2500;3000;28;28;9;43,75
Doring;laminaria;deep;58;400;1750;2150;39;28;10;67,24137931
Doring;laminaria;deep;71;375;750;1125;30;25;10;42,25352113
Doring;laminaria;deep;48;250;1800;2050;0;0;0;0
Doring;laminaria;deep;83;500;1625;2125;44;27;12;53,01204819
Doring;laminaria;deep;76;500;2000;2500;26;25;10;34,21052632
Doring;laminaria;deep;104;625;1125;1750;63;24;10;60,57692308
Doring;laminaria;deep;117;525;90;615;52;22;10;44,44444444
Doring;laminaria;deep;53;250;1250;1500;11;20;8;20,75471698
Doring;laminaria;deep;114;775;1750;2525;81;31;14;71,05263158
Doring;laminaria;deep;95;625;1375;2000;67;28;11;70,52631579
Doring;laminaria;deep;88;625;1750;2375;35;30;13;39,77272727
Doring;laminaria;deep;77;425;2000;2425;49;26;12;63,63636364
Doring;laminaria;deep;118;1125;5000;6125;74;35;15;62,71186441
Doring;laminaria;deep;175;1150;2125;3275;37;34;18;21,14285714
Doring;laminaria;deep;61;250;250;500;0;0;0;0
Doring;laminaria;deep;69;275;1875;2150;45;24;8;65,2173913
Doring;laminaria;deep;66;375;1500;1875;8;20;7;12,12121212
Doring;laminaria;deep;50;275;2500;2775;27;19;7;54
Doring;laminaria;deep;92;625;2750;3375;30;26;7;32,60869565
Doring;laminaria;deep;75;375;1750;2125;0;0;0;0
Doring;laminaria;deep;91;500;850;1350;42;20;12;46,15384615
Doring;laminaria;deep;81;500;1125;1625;28;24;8;34,56790123
Doring;laminaria;deep;80;375;1750;2125;23;20;8;28,75
Doring;laminaria;deep;89;550;1125;1675;54;27;10;60,6741573
Doring;laminaria;deep;103;625;1625;2250;67;27;12;65,04854369
